chunk_id,success,date,strategy,confidence,country,source
fixed_660_0,True,2021-01-06,regex,0.95,UK,uk_2023-07-03.txt
fixed_660_1,True,2021-01-06,regex,0.95,UK,uk_2023-07-03.txt
fixed_660_2,True,2026-01-02,spacy,0.8,UK,uk_2023-07-03.txt
fixed_660_3,True,2023-06-28,regex,0.95,UK,uk_2023-07-06.txt
fixed_660_4,True,1966-05-01,regex,0.85,UK,uk_2023-07-06.txt
fixed_660_5,True,1966-05-01,regex,0.85,UK,uk_2023-07-06.txt
fixed_660_6,True,1923-07-02,regex,0.95,UK,uk_2023-07-06.txt
fixed_660_7,True,1923-06-29,regex,0.95,UK,uk_2023-07-06.txt
fixed_660_8,True,2015-01-01,regex,0.6,UK,uk_2023-07-06.txt
fixed_660_9,True,2013-01-01,regex,0.6,UK,uk_2023-07-06.txt
fixed_660_10,True,2023-07-15,regex,0.95,UK,uk_2023-07-10.txt
fixed_660_11,True,2094-01-01,regex,0.6,UK,uk_2023-07-10.txt
fixed_660_12,True,2094-01-01,regex,0.6,UK,uk_2023-07-10.txt
fixed_660_13,True,2021-02-01,regex,0.95,UK,uk_2023-07-10.txt
fixed_660_14,True,2021-02-01,regex,0.95,UK,uk_2023-07-10.txt
fixed_660_15,True,2023-04-18,regex,0.95,UK,uk_2023-07-10.txt
fixed_660_16,True,2005-01-01,regex,0.6,UK,uk_2023-07-10.txt
fixed_660_17,True,2023-07-10,regex,0.95,UK,uk_2023-07-10.txt
fixed_660_18,True,1977-02-04,regex,0.95,UK,uk_2023-07-10.txt
fixed_660_19,True,2026-07-12,spacy,0.8,UK,uk_2023-07-10.txt
fixed_660_20,True,2020-01-01,regex,0.6,UK,uk_2023-07-10.txt
fixed_660_21,True,2020-01-01,regex,0.6,UK,uk_2023-07-10.txt
fixed_660_22,True,2094-01-01,regex,0.6,UK,uk_2023-07-10.txt
fixed_660_23,True,2018-01-01,regex,0.6,UK,uk_2023-07-11.txt
fixed_660_24,True,2008-01-01,regex,0.6,UK,uk_2023-07-11.txt
fixed_660_25,True,2010-01-01,regex,0.6,UK,uk_2023-07-11.txt
fixed_660_26,True,2019-01-01,regex,0.6,UK,uk_2023-07-11.txt
fixed_660_27,True,2023-06-23,regex,0.95,UK,uk_2023-07-11.txt
fixed_660_28,True,2040-01-01,regex,0.6,UK,uk_2023-07-11.txt
fixed_660_29,True,2016-01-01,regex,0.6,UK,uk_2023-07-11.txt
fixed_660_30,True,2011-01-01,regex,0.6,UK,uk_2023-07-11.txt
fixed_660_31,False,,failed,0.0,UK,uk_2023-07-12.txt
fixed_660_32,True,1788-07-04,regex,0.95,UK,uk_2023-07-12.txt
fixed_660_33,True,2026-07-04,regex,0.95,UK,uk_2023-07-12.txt
fixed_660_34,True,2023-07-13,regex,0.95,UK,uk_2023-07-12.txt
fixed_660_35,True,2032-01-01,regex,0.6,UK,uk_2023-07-12.txt
fixed_660_36,True,2000-01-01,regex,0.6,UK,uk_2023-07-12.txt
fixed_660_37,True,2024-01-01,regex,0.6,UK,uk_2023-07-12.txt
fixed_660_38,True,2094-01-01,regex,0.6,UK,uk_2023-07-12.txt
fixed_660_39,True,2022-06-22,regex,0.95,UK,uk_2023-07-12.txt
fixed_660_40,False,,failed,0.0,UK,uk_2023-07-12.txt
fixed_660_41,True,2022-01-01,regex,0.6,UK,uk_2023-07-12.txt
fixed_660_42,True,2023-07-12,regex,0.95,UK,uk_2023-07-12.txt
fixed_660_43,True,2023-07-15,regex,0.95,UK,uk_2023-07-12.txt
fixed_660_44,True,2012-01-01,regex,0.6,UK,uk_2023-07-12.txt
fixed_660_45,True,2006-01-01,regex,0.6,UK,uk_2023-07-12.txt
fixed_660_46,True,2023-07-01,regex,0.95,UK,uk_2023-07-12.txt
fixed_660_47,True,2023-07-01,regex,0.95,UK,uk_2023-07-12.txt
fixed_660_48,True,1923-07-15,regex,0.95,UK,uk_2023-07-13.txt
fixed_660_49,True,2018-01-01,regex,0.6,UK,uk_2023-07-13.txt
fixed_660_50,True,2022-01-01,regex,0.6,UK,uk_2023-07-13.txt
fixed_660_51,False,,failed,0.0,UK,uk_2023-07-13.txt
fixed_660_52,True,2024-01-01,regex,0.6,UK,uk_2023-07-13.txt
fixed_660_53,True,2003-01-01,regex,0.6,UK,uk_2023-07-13.txt
fixed_660_54,True,2023-07-10,regex,0.95,UK,uk_2023-07-13.txt
fixed_660_55,True,2023-01-01,regex,0.6,UK,uk_2023-07-13.txt
fixed_660_56,True,2023-06-06,regex,0.95,UK,uk_2023-07-13.txt
fixed_660_57,True,2023-06-06,regex,0.95,UK,uk_2023-07-13.txt
fixed_660_58,False,,failed,0.0,UK,uk_2023-07-14.txt
fixed_660_59,True,2017-01-01,regex,0.6,UK,uk_2023-07-14.txt
fixed_660_60,True,2023-07-16,regex,0.95,UK,uk_2023-07-14.txt
fixed_660_61,True,2026-01-02,dateutil,0.7,UK,uk_2023-07-14.txt
fixed_660_62,False,,failed,0.0,UK,uk_2023-07-14.txt
fixed_660_63,True,2023-06-07,regex,0.95,UK,uk_2023-07-14.txt
fixed_660_64,True,2023-08-04,regex,0.95,UK,uk_2023-07-17.txt
fixed_660_65,True,2021-01-01,regex,0.6,UK,uk_2023-07-17.txt
fixed_660_66,True,1988-04-01,regex,0.85,UK,uk_2023-07-17.txt
fixed_660_67,True,2026-01-10,dateutil,0.7,UK,uk_2023-07-17.txt
fixed_660_68,False,,failed,0.0,UK,uk_2023-07-17.txt
fixed_660_69,True,2022-12-05,regex,0.95,UK,uk_2023-07-18.txt
fixed_660_70,True,1923-07-18,regex,0.95,UK,uk_2023-07-18.txt
fixed_660_71,False,,failed,0.0,UK,uk_2023-07-18.txt
fixed_660_72,True,2024-01-01,regex,0.6,UK,uk_2023-07-18.txt
fixed_660_73,True,2017-01-01,regex,0.6,UK,uk_2023-07-18.txt
fixed_660_74,True,2023-07-17,regex,0.95,UK,uk_2023-07-18.txt
fixed_660_75,True,2017-01-01,regex,0.6,UK,uk_2023-07-18.txt
fixed_660_76,True,1948-07-26,regex,0.95,UK,uk_2023-07-18.txt
fixed_660_77,True,1948-07-26,regex,0.95,UK,uk_2023-07-18.txt
fixed_660_78,True,2022-01-01,regex,0.6,UK,uk_2023-07-18.txt
fixed_660_79,True,1972-01-17,regex,0.95,UK,uk_2023-07-19.txt
fixed_660_80,True,2001-09-11,regex,0.95,UK,uk_2023-07-19.txt
fixed_660_81,True,2020-01-01,regex,0.6,UK,uk_2023-07-19.txt
fixed_660_82,False,,failed,0.0,UK,uk_2023-07-19.txt
fixed_660_83,True,2023-07-05,regex,0.95,UK,uk_2023-07-19.txt
fixed_660_84,True,2023-01-01,regex,0.6,UK,uk_2023-07-19.txt
fixed_660_85,True,1977-02-04,regex,0.95,UK,uk_2023-07-19.txt
fixed_660_86,True,2023-07-20,regex,0.95,UK,uk_2023-07-19.txt
fixed_660_87,True,2023-01-01,regex,0.6,UK,uk_2023-07-19.txt
fixed_660_88,True,1923-07-07,regex,0.95,UK,uk_2023-07-20.txt
fixed_660_89,True,2023-02-13,regex,0.95,UK,uk_2023-07-20.txt
fixed_660_90,False,,failed,0.0,UK,uk_2023-07-20.txt
fixed_660_91,True,2023-07-18,regex,0.95,UK,uk_2023-07-20.txt
fixed_660_92,True,2023-07-18,regex,0.95,UK,uk_2023-07-20.txt
fixed_660_93,False,,failed,0.0,UK,uk_2023-07-20.txt
fixed_660_94,True,2023-01-01,regex,0.6,UK,uk_2023-07-24.txt
fixed_660_95,True,1931-06-16,regex,0.95,UK,uk_2023-07-24.txt
fixed_660_96,True,1998-07-24,regex,0.95,UK,uk_2023-07-24.txt
fixed_660_97,False,,failed,0.0,UK,uk_2023-07-24.txt
fixed_660_98,True,2023-07-20,regex,0.95,UK,uk_2023-07-24.txt
fixed_660_99,False,,failed,0.0,UK,uk_2023-07-25.txt
fixed_660_100,True,2007-01-01,regex,0.6,UK,uk_2023-07-25.txt
fixed_660_101,True,1993-01-20,regex,0.95,UK,uk_2023-07-25.txt
fixed_660_102,True,2023-06-01,regex,0.85,UK,uk_2023-07-25.txt
fixed_660_103,True,1923-08-15,regex,0.95,UK,uk_2023-07-25.txt
fixed_660_104,False,,failed,0.0,UK,uk_2023-07-25.txt
fixed_660_105,True,2007-01-01,regex,0.6,UK,uk_2023-07-26.txt
fixed_660_106,True,2020-01-01,regex,0.6,UK,uk_2023-07-26.txt
fixed_660_107,True,2023-07-18,regex,0.95,UK,uk_2023-07-26.txt
fixed_660_108,True,1923-09-11,regex,0.95,UK,uk_2023-07-26.txt
fixed_660_109,True,2006-01-01,regex,0.6,UK,uk_2023-07-26.txt
fixed_660_110,False,,failed,0.0,UK,uk_2023-07-26.txt
fixed_660_111,False,,failed,0.0,UK,uk_2023-07-26.txt
fixed_660_112,True,2008-01-01,regex,0.6,UK,uk_2023-07-27.txt
fixed_660_113,True,2022-12-01,regex,0.85,UK,uk_2023-07-27.txt
fixed_660_114,True,2018-01-01,regex,0.6,UK,uk_2023-07-27.txt
fixed_660_115,True,2002-01-01,regex,0.6,UK,uk_2023-07-27.txt
fixed_660_116,True,2023-07-10,regex,0.95,UK,uk_2023-07-27.txt
fixed_660_117,True,2023-07-26,regex,0.95,UK,uk_2023-07-27.txt
fixed_660_118,True,2023-07-31,regex,0.95,UK,uk_2023-07-27.txt
fixed_660_119,False,,failed,0.0,UK,uk_2023-07-27.txt
fixed_660_120,True,2023-07-14,regex,0.95,UK,uk_2023-07-28.txt
fixed_660_121,True,2023-07-24,regex,0.95,UK,uk_2023-07-28.txt
fixed_660_122,True,2021-08-14,regex,0.95,UK,uk_2023-07-28.txt
fixed_660_123,True,1943-03-20,regex,0.95,UK,uk_2023-07-28.txt
fixed_660_124,True,2050-01-01,dateutil,0.7,UK,uk_2023-07-28.txt
fixed_660_125,True,2003-01-01,regex,0.6,UK,uk_2023-08-01.txt
fixed_660_126,True,2023-07-16,regex,0.95,UK,uk_2023-08-01.txt
fixed_660_127,True,2021-01-01,regex,0.6,UK,uk_2023-08-01.txt
fixed_660_128,True,2012-01-01,regex,0.6,UK,uk_2023-08-01.txt
fixed_660_129,True,2014-01-01,regex,0.6,UK,uk_2023-08-01.txt
fixed_660_130,True,1923-07-25,regex,0.95,UK,uk_2023-08-01.txt
fixed_660_131,False,,failed,0.0,UK,uk_2023-08-01.txt
fixed_660_132,True,2022-03-01,regex,0.85,UK,uk_2023-08-04.txt
fixed_660_133,True,2023-06-22,regex,0.95,UK,uk_2023-08-04.txt
fixed_660_134,False,,failed,0.0,UK,uk_2023-08-04.txt
fixed_660_135,True,2026-01-30,dateutil,0.7,UK,uk_2023-08-04.txt
fixed_660_136,True,1873-08-06,regex,0.95,UK,uk_2023-08-04.txt
fixed_660_137,True,2022-06-01,regex,0.85,UK,uk_2023-08-04.txt
fixed_660_138,True,2023-08-06,regex,0.95,UK,uk_2023-08-04.txt
fixed_660_139,True,2010-01-01,regex,0.6,UK,uk_2023-08-04.txt
fixed_660_140,True,2010-01-01,regex,0.6,UK,uk_2023-08-04.txt
fixed_660_141,True,2023-07-22,regex,0.95,UK,uk_2023-08-04.txt
fixed_660_142,True,2007-01-01,regex,0.6,UK,uk_2023-08-04.txt
fixed_660_143,True,2023-06-22,regex,0.95,UK,uk_2023-08-04.txt
fixed_660_144,True,1923-08-09,regex,0.95,UK,uk_2023-08-08.txt
fixed_660_145,True,2023-06-26,regex,0.95,UK,uk_2023-08-08.txt
fixed_660_146,True,1954-01-18,regex,0.95,UK,uk_2023-08-08.txt
fixed_660_147,True,1937-09-14,regex,0.95,UK,uk_2023-08-08.txt
fixed_660_148,True,1979-07-01,regex,0.85,UK,uk_2023-08-08.txt
fixed_660_149,True,2026-01-30,dateutil,0.7,UK,uk_2023-08-08.txt
fixed_660_150,True,1873-04-10,regex,0.95,UK,uk_2023-08-08.txt
fixed_660_151,True,2023-08-02,regex,0.95,UK,uk_2023-08-08.txt
fixed_660_152,False,,failed,0.0,UK,uk_2023-08-08.txt
fixed_660_153,False,,failed,0.0,UK,uk_2023-08-11.txt
fixed_660_154,True,2013-05-26,regex,0.95,UK,uk_2023-08-11.txt
fixed_660_155,True,2023-07-23,regex,0.95,UK,uk_2023-08-11.txt
fixed_660_156,True,2020-06-01,regex,0.85,UK,uk_2023-08-11.txt
fixed_660_157,True,2019-08-01,regex,0.85,UK,uk_2023-08-11.txt
fixed_660_158,True,2017-01-01,regex,0.6,UK,uk_2023-08-11.txt
fixed_660_159,True,2023-01-01,regex,0.6,UK,uk_2023-08-11.txt
fixed_660_160,False,,failed,0.0,UK,uk_2023-08-11.txt
fixed_660_161,True,2023-01-01,regex,0.6,UK,uk_2023-08-11.txt
fixed_660_162,True,1969-11-01,regex,0.95,UK,uk_2023-08-15.txt
fixed_660_163,True,1969-11-01,regex,0.95,UK,uk_2023-08-15.txt
fixed_660_164,False,,failed,0.0,UK,uk_2023-08-15.txt
fixed_660_165,True,1963-08-28,regex,0.95,UK,uk_2023-08-15.txt
fixed_660_166,True,1963-08-28,regex,0.95,UK,uk_2023-08-15.txt
fixed_660_167,True,2023-09-15,regex,0.95,UK,uk_2023-08-15.txt
fixed_660_168,True,1996-01-01,regex,0.85,UK,uk_2023-08-15.txt
fixed_660_169,False,,failed,0.0,UK,uk_2023-08-15.txt
fixed_660_170,True,2026-01-18,dateutil,0.7,UK,uk_2023-08-15.txt
fixed_660_171,True,2023-02-17,regex,0.95,UK,uk_2023-08-18.txt
fixed_660_172,True,1951-09-07,regex,0.95,UK,uk_2023-08-18.txt
fixed_660_173,True,2023-08-06,regex,0.95,UK,uk_2023-08-18.txt
fixed_660_174,True,1996-01-01,dateutil,0.7,UK,uk_2023-08-18.txt
fixed_660_175,True,2023-08-14,regex,0.95,UK,uk_2023-08-18.txt
fixed_660_176,True,2023-08-14,regex,0.95,UK,uk_2023-08-18.txt
fixed_660_177,True,2017-02-18,regex,0.95,UK,uk_2023-08-18.txt
fixed_660_178,True,2020-01-01,regex,0.6,UK,uk_2023-08-22.txt
fixed_660_179,True,2023-05-27,regex,0.95,UK,uk_2023-08-22.txt
fixed_660_180,True,2023-08-07,regex,0.95,UK,uk_2023-08-22.txt
fixed_660_181,True,2018-01-01,regex,0.6,UK,uk_2023-08-22.txt
fixed_660_182,True,1933-04-26,regex,0.95,UK,uk_2023-08-22.txt
fixed_660_183,True,1961-01-01,spacy,0.8,UK,uk_2023-08-22.txt
fixed_660_184,True,1969-07-01,regex,0.85,UK,uk_2023-08-25.txt
fixed_660_185,True,2021-01-01,regex,0.85,UK,uk_2023-08-25.txt
fixed_660_186,True,2020-01-01,regex,0.6,UK,uk_2023-08-25.txt
fixed_660_187,True,2023-08-14,regex,0.95,UK,uk_2023-08-25.txt
fixed_660_188,True,2023-07-29,regex,0.95,UK,uk_2023-08-25.txt
fixed_660_189,True,2015-01-01,regex,0.6,UK,uk_2023-08-25.txt
fixed_660_190,True,1963-08-28,regex,0.95,UK,uk_2023-08-25.txt
fixed_660_191,True,2026-01-18,dateutil,0.7,UK,uk_2023-08-25.txt
fixed_660_192,True,2011-01-01,regex,0.6,UK,uk_2023-08-29.txt
fixed_660_193,True,2023-07-23,regex,0.95,UK,uk_2023-08-29.txt
fixed_660_194,True,2008-01-01,regex,0.6,UK,uk_2023-08-29.txt
fixed_660_195,True,2021-01-06,regex,0.95,UK,uk_2023-08-29.txt
fixed_660_196,True,2017-01-01,regex,0.6,UK,uk_2023-08-29.txt
fixed_660_197,True,1898-09-03,regex,0.95,UK,uk_2023-08-29.txt
fixed_660_198,True,1974-02-28,regex,0.95,UK,uk_2023-08-29.txt
fixed_660_199,False,,failed,0.0,UK,uk_2023-08-29.txt
fixed_660_200,True,2016-01-01,regex,0.6,UK,uk_2023-09-01.txt
fixed_660_201,True,2023-09-06,regex,0.95,UK,uk_2023-09-01.txt
fixed_660_202,True,2011-06-01,regex,0.95,UK,uk_2023-09-01.txt
fixed_660_203,True,2023-08-28,regex,0.95,UK,uk_2023-09-01.txt
fixed_660_204,True,1923-07-28,regex,0.95,UK,uk_2023-09-01.txt
fixed_660_205,True,1895-07-29,regex,0.95,UK,uk_2023-09-01.txt
fixed_660_206,True,1917-04-08,regex,0.95,UK,uk_2023-09-01.txt
fixed_660_207,True,2019-01-01,regex,0.6,UK,uk_2023-09-05.txt
fixed_660_208,True,2023-06-15,regex,0.95,UK,uk_2023-09-05.txt
fixed_660_209,True,2023-08-28,regex,0.95,UK,uk_2023-09-05.txt
fixed_660_210,True,1996-12-01,regex,0.85,UK,uk_2023-09-05.txt
fixed_660_211,True,1977-02-04,regex,0.95,UK,uk_2023-09-06.txt
fixed_660_212,True,2023-09-08,regex,0.95,UK,uk_2023-09-08.txt
fixed_660_213,True,2023-01-01,regex,0.6,UK,uk_2023-09-08.txt
fixed_660_214,True,1923-06-17,regex,0.95,UK,uk_2023-09-08.txt
fixed_660_215,True,1947-11-16,regex,0.95,UK,uk_2023-09-08.txt
fixed_660_216,True,2023-07-11,regex,0.95,UK,uk_2023-09-08.txt
fixed_660_217,True,2021-01-01,regex,0.6,UK,uk_2023-09-08.txt
fixed_660_218,True,2004-01-01,regex,0.6,UK,uk_2023-09-08.txt
fixed_660_219,True,2023-07-29,regex,0.95,UK,uk_2023-09-08.txt
fixed_660_220,True,1977-02-04,regex,0.95,UK,uk_2023-09-11.txt
fixed_660_221,True,2023-08-15,regex,0.95,UK,uk_2023-09-12.txt
fixed_660_222,True,2016-01-01,regex,0.6,UK,uk_2023-09-12.txt
fixed_660_223,True,1972-12-12,regex,0.95,UK,uk_2023-09-12.txt
fixed_660_224,True,2001-09-11,regex,0.95,UK,uk_2023-09-12.txt
fixed_660_225,False,,failed,0.0,UK,uk_2023-09-12.txt
fixed_660_226,False,,failed,0.0,UK,uk_2023-09-12.txt
fixed_660_227,True,2000-01-01,regex,0.6,UK,uk_2023-09-12.txt
fixed_660_228,True,1950-09-02,regex,0.95,UK,uk_2023-09-12.txt
fixed_660_229,False,,failed,0.0,UK,uk_2023-09-12.txt
fixed_660_230,True,1999-10-10,regex,0.95,UK,uk_2023-09-13.txt
fixed_660_231,True,1999-10-10,regex,0.95,UK,uk_2023-09-13.txt
fixed_660_232,True,2006-01-01,regex,0.6,UK,uk_2023-09-13.txt
fixed_660_233,True,2023-09-02,regex,0.95,UK,uk_2023-09-13.txt
fixed_660_234,True,1977-02-04,regex,0.95,UK,uk_2023-09-13.txt
fixed_660_235,True,1977-02-04,regex,0.95,UK,uk_2023-09-13.txt
fixed_660_236,True,1958-08-19,regex,0.95,UK,uk_2023-09-13.txt
fixed_660_237,True,1923-08-11,regex,0.95,UK,uk_2023-09-14.txt
fixed_660_238,True,2017-01-01,regex,0.6,UK,uk_2023-09-14.txt
fixed_660_239,False,,failed,0.0,UK,uk_2023-09-14.txt
fixed_660_240,True,2014-04-30,regex,0.95,UK,uk_2023-09-14.txt
fixed_660_241,True,2023-01-01,regex,0.6,UK,uk_2023-09-14.txt
fixed_660_242,True,2023-01-01,regex,0.6,UK,uk_2023-09-14.txt
fixed_660_243,True,2023-01-01,regex,0.6,UK,uk_2023-09-14.txt
fixed_660_244,True,1911-10-10,regex,0.95,UK,uk_2023-09-14.txt
fixed_660_245,True,2016-01-01,regex,0.6,UK,uk_2023-09-14.txt
fixed_660_246,True,1950-08-23,regex,0.95,UK,uk_2023-09-14.txt
fixed_660_247,True,1972-10-01,regex,0.95,UK,uk_2023-09-18.txt
fixed_660_248,True,2018-01-01,regex,0.6,UK,uk_2023-09-18.txt
fixed_660_249,True,1573-01-01,spacy,0.8,UK,uk_2023-09-18.txt
fixed_660_250,True,1994-01-01,spacy,0.8,UK,uk_2023-09-18.txt
fixed_660_251,True,2014-01-01,regex,0.6,UK,uk_2023-09-18.txt
fixed_660_252,True,2023-09-12,regex,0.95,UK,uk_2023-09-18.txt
fixed_660_253,True,1988-01-01,spacy,0.8,UK,uk_2023-09-18.txt
fixed_660_254,True,2007-01-01,regex,0.6,UK,uk_2023-09-18.txt
fixed_660_255,True,2023-04-11,regex,0.95,UK,uk_2023-09-18.txt
fixed_660_256,True,2023-08-25,regex,0.95,UK,uk_2023-09-18.txt
fixed_660_257,True,1977-02-04,regex,0.95,UK,uk_2023-09-18.txt
fixed_660_258,True,2018-01-01,regex,0.6,UK,uk_2023-09-18.txt
fixed_660_259,True,1906-12-04,regex,0.95,UK,uk_2023-09-19.txt
fixed_660_260,True,2023-09-14,regex,0.95,UK,uk_2023-09-19.txt
fixed_660_261,True,1965-11-29,regex,0.95,UK,uk_2023-09-19.txt
fixed_660_262,True,2003-09-04,regex,0.95,UK,uk_2023-09-19.txt
fixed_660_263,False,,failed,0.0,UK,uk_2023-09-19.txt
fixed_660_264,False,,failed,0.0,UK,uk_2023-09-19.txt
fixed_660_265,False,,failed,0.0,UK,uk_2023-09-19.txt
fixed_660_266,True,2011-01-01,regex,0.6,UK,uk_2023-09-20.txt
fixed_660_267,True,2026-09-28,spacy,0.8,UK,uk_2023-09-20.txt
fixed_660_268,True,2050-01-01,regex,0.6,UK,uk_2023-09-20.txt
fixed_660_269,True,2023-09-03,regex,0.95,UK,uk_2023-09-20.txt
fixed_660_270,True,2023-09-03,regex,0.95,UK,uk_2023-09-20.txt
fixed_660_271,True,1923-09-24,regex,0.95,UK,uk_2023-09-20.txt
fixed_660_272,True,1923-09-18,regex,0.95,UK,uk_2023-09-20.txt
fixed_660_273,True,2023-09-06,regex,0.95,UK,uk_2023-09-20.txt
fixed_660_274,True,2023-09-18,regex,0.95,UK,uk_2023-09-20.txt
fixed_660_275,True,1977-02-04,regex,0.95,UK,uk_2023-09-20.txt
fixed_660_276,True,2019-05-22,regex,0.95,UK,uk_2023-09-21.txt
fixed_660_277,True,2023-01-01,regex,0.6,UK,uk_2023-09-21.txt
fixed_660_278,True,2023-09-24,regex,0.95,UK,uk_2023-09-21.txt
fixed_660_279,True,1945-12-01,regex,0.85,UK,uk_2023-09-21.txt
fixed_660_280,True,1944-08-01,regex,0.95,UK,uk_2023-09-21.txt
fixed_660_281,True,1995-08-01,regex,0.85,UK,uk_2023-09-21.txt
fixed_660_282,True,2010-01-01,regex,0.6,UK,uk_2023-09-21.txt
fixed_660_283,True,2008-01-01,regex,0.6,UK,uk_2023-09-21.txt
fixed_660_284,True,2023-08-28,regex,0.95,UK,uk_2023-09-22.txt
fixed_660_285,True,2019-01-01,regex,0.6,UK,uk_2023-09-22.txt
fixed_660_286,True,2019-01-01,regex,0.6,UK,uk_2023-09-22.txt
fixed_660_287,False,,failed,0.0,UK,uk_2023-09-22.txt
fixed_660_288,False,,failed,0.0,UK,uk_2023-09-22.txt
fixed_660_289,True,2023-10-04,regex,0.95,UK,uk_2023-09-22.txt
fixed_660_290,True,1948-10-16,regex,0.95,UK,uk_2023-09-22.txt
fixed_660_291,True,1915-08-29,regex,0.95,UK,uk_2023-09-26.txt
fixed_660_292,True,1991-11-01,regex,0.85,UK,uk_2023-09-26.txt
fixed_660_293,False,,failed,0.0,UK,uk_2023-09-27.txt
fixed_660_294,True,1848-04-04,regex,0.95,UK,uk_2023-09-27.txt
fixed_660_295,True,1977-02-04,regex,0.95,UK,uk_2023-09-27.txt
fixed_660_296,False,,failed,0.0,UK,uk_2023-09-27.txt
fixed_660_297,True,1919-05-21,regex,0.95,UK,uk_2023-09-28.txt
fixed_660_298,True,2004-01-01,regex,0.6,UK,uk_2023-09-28.txt
fixed_660_299,True,2000-01-01,regex,0.6,UK,uk_2023-09-28.txt
fixed_660_300,True,2013-01-01,regex,0.6,UK,uk_2023-09-28.txt
fixed_660_301,True,2002-01-01,regex,0.6,UK,uk_2023-09-28.txt
fixed_660_302,True,2023-09-20,regex,0.95,UK,uk_2023-09-28.txt
fixed_660_303,True,1953-12-13,regex,0.95,UK,uk_2023-09-28.txt
fixed_660_304,True,2023-10-05,regex,0.95,UK,uk_2023-09-29.txt
fixed_660_305,True,1587-10-18,regex,0.95,UK,uk_2023-09-29.txt
fixed_660_306,True,2019-01-01,regex,0.6,UK,uk_2023-09-29.txt
fixed_660_307,True,2023-09-25,regex,0.95,UK,uk_2023-09-29.txt
fixed_660_308,True,1923-10-02,regex,0.95,UK,uk_2023-09-29.txt
fixed_660_309,True,2016-01-01,regex,0.6,UK,uk_2023-09-29.txt
fixed_660_310,True,2009-01-01,regex,0.6,UK,uk_2023-09-29.txt
fixed_660_311,True,2023-09-30,regex,0.95,UK,uk_2023-09-30.txt
fixed_660_312,True,2024-01-01,regex,0.6,UK,uk_2023-10-02.txt
fixed_660_313,False,,failed,0.0,UK,uk_2023-10-02.txt
fixed_660_314,False,,failed,0.0,UK,uk_2023-10-02.txt
fixed_660_315,True,2024-01-01,regex,0.6,UK,uk_2023-10-02.txt
fixed_660_316,False,,failed,0.0,UK,uk_2023-10-02.txt
fixed_660_317,True,2006-01-01,regex,0.6,UK,uk_2023-10-03.txt
fixed_660_318,True,1977-02-04,regex,0.95,UK,uk_2023-10-04.txt
fixed_660_319,True,2016-05-01,regex,0.85,UK,uk_2023-10-06.txt
fixed_660_320,True,2023-01-01,regex,0.6,UK,uk_2023-10-06.txt
fixed_660_321,True,2023-01-01,regex,0.6,UK,uk_2023-10-06.txt
fixed_660_322,True,2023-01-01,regex,0.6,UK,uk_2023-10-06.txt
fixed_660_323,True,2007-01-01,regex,0.6,UK,uk_2023-10-06.txt
fixed_660_324,True,2017-01-01,regex,0.6,UK,uk_2023-10-06.txt
fixed_660_325,False,,failed,0.0,UK,uk_2023-10-06.txt
fixed_660_326,True,2003-07-01,regex,0.85,UK,uk_2023-10-06.txt
fixed_660_327,True,2002-01-01,regex,0.6,UK,uk_2023-10-06.txt
fixed_660_328,True,2000-01-01,regex,0.6,UK,uk_2023-10-10.txt
fixed_660_329,True,2023-01-01,regex,0.6,UK,uk_2023-10-10.txt
fixed_660_330,True,2023-01-01,regex,0.6,UK,uk_2023-10-10.txt
fixed_660_331,True,2023-01-01,regex,0.6,UK,uk_2023-10-10.txt
fixed_660_332,True,2008-01-01,regex,0.6,UK,uk_2023-10-10.txt
fixed_660_333,True,2014-12-01,regex,0.85,UK,uk_2023-10-10.txt
fixed_660_334,True,2014-01-01,regex,0.6,UK,uk_2023-10-10.txt
fixed_660_335,True,2023-10-07,regex,0.95,UK,uk_2023-10-11.txt
fixed_660_336,True,2023-10-02,regex,0.95,UK,uk_2023-10-11.txt
fixed_660_337,True,2023-01-01,regex,0.6,UK,uk_2023-10-11.txt
fixed_660_338,True,2023-09-25,regex,0.95,UK,uk_2023-10-11.txt
fixed_660_339,True,2023-10-10,regex,0.95,UK,uk_2023-10-11.txt
fixed_660_340,True,2023-08-25,regex,0.95,UK,uk_2023-10-11.txt
fixed_660_341,True,2021-01-01,regex,0.6,UK,uk_2023-10-11.txt
fixed_660_342,True,2022-01-01,regex,0.6,UK,uk_2023-10-12.txt
fixed_660_343,True,2020-12-16,regex,0.95,UK,uk_2023-10-12.txt
fixed_660_344,True,2004-01-01,regex,0.6,UK,uk_2023-10-12.txt
fixed_660_345,True,2023-01-01,regex,0.6,UK,uk_2023-10-12.txt
fixed_660_346,True,2023-01-01,regex,0.6,UK,uk_2023-10-12.txt
fixed_660_347,True,2023-01-01,regex,0.6,UK,uk_2023-10-12.txt
fixed_660_348,True,1966-05-07,regex,0.95,UK,uk_2023-10-12.txt
fixed_660_349,True,1966-05-07,regex,0.95,UK,uk_2023-10-12.txt
fixed_660_350,False,,failed,0.0,UK,uk_2023-10-12.txt
fixed_660_351,True,2007-01-01,regex,0.6,UK,uk_2023-10-13.txt
fixed_660_352,True,2023-01-01,regex,0.6,UK,uk_2023-10-13.txt
fixed_660_353,True,2001-09-11,regex,0.95,UK,uk_2023-10-13.txt
